"","participant_id","income","num_skills"
"230",255,150000,29
"231",256,70000,25
"232",257,125000,20
"233",259,2e+05,23
"234",260,1e+05,22
"235",261,90000,18
"236",263,125000,14
"237",264,10000,16
"238",265,2e+05,30
"239",266,125000,25
"240",268,1e+05,20
"241",269,2e+05,22
"242",270,125000,20
"243",271,60000,30
"244",272,2e+05,28
"245",273,1e+05,26
"246",274,150000,21
"247",275,50000,16
"248",276,1e+05,36
"249",277,150000,24
"250",278,70000,19
"251",279,150000,24
"252",280,1e+05,22
"253",282,2e+05,13
"254",283,2e+05,27
"255",284,125000,41
"256",285,250000,16
"257",286,2e+05,26
"258",287,125000,14
"259",288,3e+05,13
"260",289,2e+05,14
"261",290,1e+05,15
"262",291,2e+05,27
"263",292,2e+05,19
"264",293,4e+05,21
"265",294,125000,30
"266",295,1e+05,23
"267",296,250000,33
"268",297,80000,10
"269",298,125000,15
"270",299,125000,22
"271",300,2e+05,15
"272",301,125000,17
"273",302,1e+05,16
"274",303,2e+05,17
"275",305,250000,27
"276",306,150000,16
"277",309,70000,27
"278",310,1e+05,20
"279",311,150000,20
"280",312,125000,35
"281",313,1e+05,26
"282",314,3e+05,21
"283",315,80000,13
"284",316,1e+05,23
"285",317,80000,25
"286",318,90000,20
"287",320,2e+05,27
"288",321,90000,18
"289",323,70000,16
"290",324,125000,17
"291",325,2e+05,15
"292",326,125000,13
"293",327,90000,25
"294",328,125000,18
"295",329,1e+05,26
"296",330,150000,20
"297",331,250000,14
"298",332,125000,24
"299",333,125000,24
"300",334,125000,17
"301",335,80000,17
"302",337,1e+05,24
"303",338,90000,19
"304",339,125000,28
"305",340,2e+05,29
"306",341,125000,24
"307",342,70000,23
"308",343,50000,19
"309",344,1e+05,28
"310",345,150000,18
"311",347,125000,17
"312",348,125000,20
"313",349,250000,20
"314",350,2e+05,28
"315",351,125000,27
"316",352,1e+05,27
"317",353,2e+05,13
"318",354,150000,23
"319",355,2e+05,10
"320",356,150000,19
"321",357,3e+05,27
"322",358,125000,30
"323",359,2e+05,13
"324",360,80000,25
"325",361,80000,33
"326",362,150000,23
"327",365,125000,23
"328",366,1e+05,21
"329",367,125000,24
"330",368,150000,11
"331",369,40000,34
"332",370,250000,26
"333",371,150000,26
"334",372,150000,21
"335",373,90000,28
"336",374,40000,24
"337",375,125000,24
"338",377,70000,24
"339",378,150000,20
"340",380,125000,18
"341",381,80000,25
"342",382,125000,14
"343",383,70000,30
"344",384,2e+05,24
"345",385,150000,14
"346",386,80000,13
"347",388,125000,12
"348",389,125000,19
"349",390,2e+05,33
"350",391,1e+05,37
"351",392,150000,28
"352",393,150000,29
"353",394,1e+05,36
"354",395,90000,29
"355",396,150000,24
"356",397,250000,18
"357",398,150000,19
"358",399,125000,26
"359",400,125000,20
"360",401,2e+05,16
"361",402,2e+05,16
"362",403,80000,19
"363",405,80000,16
"364",407,90000,20
"365",408,2e+05,22
"366",409,1e+05,12
"367",410,125000,20
"368",411,125000,17
"369",413,60000,27
"370",414,125000,27
"371",415,125000,31
"372",416,250000,23
"373",417,2e+05,12
"374",418,90000,17
"375",419,125000,17
"376",421,1e+05,24
"377",422,1e+05,34
"378",423,250000,23
"379",424,2e+05,27
"380",425,90000,20
"381",426,1e+05,15
"382",427,2e+05,18
"383",428,125000,25
"384",429,150000,22
"385",430,80000,22
"386",431,90000,15
"387",432,2e+05,20
"388",433,90000,24
"389",434,1e+05,21
"390",435,10000,15
"391",436,1e+05,21
"392",437,150000,17
"393",438,150000,12
"394",439,125000,17
"395",440,150000,18
"396",441,150000,19
"397",443,150000,19
"398",444,2e+05,15
"399",445,60000,20
"400",446,80000,21
"401",447,2e+05,19
"402",448,3e+05,31
"403",449,2e+05,30
"404",450,125000,32
"405",451,125000,14
"406",452,80000,26
"407",454,150000,17
"408",455,125000,16
"409",456,1e+05,19
"410",457,1e+05,22
"411",458,125000,23
"412",459,250000,40
"413",460,125000,14
"414",461,80000,16
"415",462,125000,22
"416",463,150000,22
"417",464,125000,15
"418",465,2e+05,22
"419",466,150000,25
"420",467,150000,40
"421",468,150000,27
"422",469,125000,20
"423",470,50000,20
"424",471,125000,34
"425",473,125000,29
"426",474,60000,13
"427",475,150000,12
"428",476,150000,11
"429",477,2e+05,11
"430",478,250000,24
"431",479,150000,26
"432",480,125000,21
"433",481,2e+05,29
"434",482,150000,17
"435",483,10000,20
"436",484,150000,19
"437",485,50000,21
"438",486,150000,29
"439",487,90000,26
"440",488,2e+05,26
"441",489,150000,33
"442",490,125000,27
"443",491,150000,12
"444",492,2e+05,37
"445",493,150000,15
"446",494,125000,26
"447",495,2e+05,16
"448",496,80000,28
"449",497,50000,13
"450",498,150000,25
"451",499,125000,27
"452",500,150000,30
"453",501,125000,25
"454",502,150000,17
"455",503,150000,16
"456",504,150000,30
"457",505,250000,15
"458",506,150000,16
"459",507,70000,15
"460",508,150000,17
"461",509,125000,31
"462",510,1e+05,15
"463",511,1e+05,34
"464",512,2e+05,27
"465",513,150000,28
"466",514,125000,26
"467",516,70000,30
"468",517,125000,18
"469",518,10000,11
"470",519,125000,33
"471",520,4e+05,35
"472",521,90000,29
"473",522,20000,6
"474",523,10000,18
"475",524,125000,22
"476",525,2e+05,26
"477",526,125000,24
"478",527,250000,12
"479",528,1e+05,22
"480",529,150000,22
"481",530,150000,25
"482",531,125000,18
"483",532,4e+05,24
"484",533,125000,25
"485",534,2e+05,23
"486",535,125000,23
"487",536,2e+05,25
"488",537,2e+05,20
"489",538,150000,11
"490",539,150000,11
"491",540,125000,17
"492",542,2e+05,13
"493",543,150000,34
"494",544,150000,24
"495",545,80000,15
"496",546,1e+05,22
"497",547,2e+05,26
"498",549,250000,22
"499",550,125000,24
"500",551,150000,18
"501",552,2e+05,29
"502",553,125000,26
"503",554,2e+05,27
"504",556,1e+05,21
"505",557,2e+05,24
"506",558,90000,21
"507",559,2e+05,13
"508",560,80000,23
"509",561,2e+05,13
"510",562,2e+05,22
"511",563,90000,19
"512",564,250000,22
"513",565,150000,19
"514",566,125000,25
"515",567,90000,12
"516",568,150000,24
"517",569,150000,18
"518",570,2e+05,25
"519",571,60000,32
"520",572,90000,15
"521",573,5e+05,38
"522",574,80000,19
"523",575,90000,19
"524",576,125000,28
"525",577,80000,20
"526",578,1e+05,21
"527",579,1e+05,20
"528",580,2e+05,17
"529",581,2e+05,23
"530",582,2e+05,15
"531",583,125000,17
"532",584,1e+05,11
"533",585,125000,24
"534",586,150000,20
"535",587,2e+05,15
"536",588,150000,24
"537",589,150000,19
"538",590,2e+05,12
"539",591,90000,23
"540",592,150000,22
"541",593,250000,21
"542",594,1e+05,16
"543",595,150000,29
"544",596,125000,21
"545",597,4e+05,21
"546",599,125000,14
"547",600,150000,12
"548",601,1e+05,18
"549",602,70000,33
"550",603,2e+05,21
"551",604,80000,16
"552",606,80000,23
"553",607,1e+05,15
"554",608,70000,22
"555",610,150000,18
"556",611,250000,23
"557",612,150000,24
"558",614,125000,30
"559",615,2e+05,19
"560",616,125000,27
"561",617,150000,22
"562",618,70000,14
"563",619,125000,9
"564",620,80000,18
"565",625,250000,24
"566",626,125000,24
"567",627,90000,25
"568",629,1e+05,14
"569",634,90000,10
"570",635,70000,33
"571",637,4e+05,12
"572",638,125000,19
"573",639,90000,14
"574",640,3e+05,13
"575",642,60000,6
"576",643,2e+05,19
"577",645,125000,24
"578",646,2e+05,3
"579",647,90000,32
"580",650,1e+05,19
"581",651,1e+05,5
"582",653,150000,14
"583",654,150000,7
"584",655,80000,20
"585",657,125000,15
"586",658,2e+05,17
"587",659,80000,18
"588",661,1e+05,23
"589",663,125000,33
"590",664,125000,23
"591",665,70000,12
"592",666,150000,7
"593",668,90000,17
"594",669,1e+05,39
"595",670,125000,14
"596",671,125000,15
"597",672,60000,26
"598",676,2e+05,14
"599",678,80000,25
"600",680,2e+05,19
"601",683,70000,19
"602",684,90000,2
"603",687,125000,9
"604",688,2e+05,24
"605",689,2e+05,31
"606",690,2e+05,10
"607",694,125000,12
"608",695,125000,19
"609",698,80000,21
"610",699,2e+05,21
"611",700,2e+05,38
"612",701,70000,8
"613",702,125000,13
"614",703,2e+05,14
"615",704,90000,24
"616",705,1e+05,18
"617",710,1e+05,14
"618",711,90000,6
"619",712,150000,13
"620",716,150000,25
"621",717,125000,21
"622",718,1e+05,26
"623",720,2e+05,28
"624",722,150000,13
"625",723,150000,26
"626",725,2e+05,22
"627",728,2e+05,20
"628",729,125000,9
"629",733,80000,30
"630",734,150000,11
"631",735,250000,16
"632",737,150000,15
"633",738,2e+05,19
"634",741,125000,12
"635",742,80000,18
"636",743,125000,12
"637",744,125000,26
"638",745,90000,43
"639",16,10000,14
"640",59,2e+05,16
"641",81,150000,11
"642",121,50000,18
"643",127,1e+05,12
"644",130,90000,4
"645",132,80000,25
"646",156,2e+05,6
"647",171,150000,26
"648",175,125000,15
"649",185,125000,16
"650",187,150000,18
"651",188,250000,19
"652",190,1e+05,26
"653",208,125000,26
"654",240,90000,13
"655",253,80000,15
"656",258,30000,14
"657",262,1e+05,4
"658",267,90000,8
"659",281,125000,13
"660",307,250000,17
"661",308,125000,13
"662",319,2e+05,13
"663",322,90000,8
"664",336,125000,15
"665",363,90000,14
"666",364,90000,9
"667",376,80000,9
"668",379,70000,9
"669",404,90000,11
"670",406,60000,4
"671",412,60000,4
"672",420,2e+05,7
"673",442,2e+05,23
"674",453,2e+05,4
"675",472,70000,14
"676",515,80000,14
"677",541,2e+05,19
"678",548,150000,15
"679",555,80000,20
"680",623,90000,5
"681",630,80000,21
"682",633,80000,14
"683",675,125000,8
"684",681,90000,13
"685",697,125000,15
"686",709,2e+05,2
"687",739,1e+05,5
"688",5,150000,9
"689",103,150000,22
"690",146,250000,16
"691",195,150000,15
"692",245,125000,14
"693",254,2e+05,9
"694",346,150000,13
"695",387,150000,15
"696",605,125000,18
"697",641,125000,9
"698",707,2e+05,12
"699",740,10000,6
"700",622,1e+05,15
"701",696,1e+05,18
"702",304,2e+05,22
"703",649,2e+05,20
"704",1,150000,18
"705",609,125000,2
"706",727,150000,10
"707",613,150000,11
"708",598,2e+05,18
"709",210,150000,13
"710",652,150000,18
